id	filename	md5	size	state
009cf740-4409-4690-9a67-abad9b0a3630	009cf740-4409-4690-9a67-abad9b0a3630/6546c35d-64c9-43bb-b68d-9258161c3b1f.FPKM.txt.gz	86d1744f4b248fe9b2741161d890e766	539893	validated
022eac53-c540-42db-9238-f1c18c21d4de	022eac53-c540-42db-9238-f1c18c21d4de/a156c548-8258-4327-9b21-5015c682215b.FPKM.txt.gz	315f39c106b470cbf8329da1a89007ec	543985	validated
0d9336f1-ca43-48ba-a51c-41de93921d8c	0d9336f1-ca43-48ba-a51c-41de93921d8c/b21dbcdd-4d95-423f-a52f-efbe521cf23e.FPKM.txt.gz	8bd6f634b85bbcc858007978f05242f5	510057	validated
15027fa4-e6c0-4b17-9360-b498b093f26e	15027fa4-e6c0-4b17-9360-b498b093f26e/c643bb69-8c28-42bb-b7b8-1e27f0a46cfb.FPKM.txt.gz	4c42fc955511b3efd1d9376741ded3c6	524601	validated
17f90de0-5bd1-4992-9886-52c25d19848f	17f90de0-5bd1-4992-9886-52c25d19848f/091c501b-2b8d-407e-84f2-dd56eaf100cc.FPKM.txt.gz	5554c56584dc3c86b22f228b9225884b	534309	validated
180d1d29-4fea-4f1e-9fce-fdd2a36a1b89	180d1d29-4fea-4f1e-9fce-fdd2a36a1b89/5c719f53-3266-4057-b421-e31124030798.FPKM.txt.gz	2675b36015db4e4450b5391f3e6b3d50	521130	validated
1afefbe3-2cfa-4b2d-9aa2-e69e59dd362b	1afefbe3-2cfa-4b2d-9aa2-e69e59dd362b/d0b25a83-b0a8-4466-b928-18b68e33dd17.FPKM.txt.gz	e9dc20a00e2a990975336d6e27032a0a	511830	validated
1da3182a-b2ae-451b-ab05-239c877b382f	1da3182a-b2ae-451b-ab05-239c877b382f/25b57a17-29ab-41f6-8809-45cf5b58a329.FPKM.txt.gz	413059a325ee2c88b25618092372b48b	528989	validated
1fd73065-f0c3-4e97-8ff0-cbfcc3dd3325	1fd73065-f0c3-4e97-8ff0-cbfcc3dd3325/124d34cd-1129-43bc-b7b4-36bdcd28165f.FPKM.txt.gz	6a513b70aadec20b7e73decda1f67d11	535476	validated
2826f9e2-104d-4ca0-b211-329277972a63	2826f9e2-104d-4ca0-b211-329277972a63/ffb8427a-d1a3-4ae6-a2e0-424929197afb.FPKM.txt.gz	48dc0470b975c101169e0067db9ed57d	530974	validated
2ab30d42-d2be-40c5-a482-a5815876dcd6	2ab30d42-d2be-40c5-a482-a5815876dcd6/ff75b10b-fa8a-457f-96c6-219dfca27709.FPKM.txt.gz	ac0892357acca773f7022e8ac349eded	536401	validated
2fcdf1e4-5f2a-4762-8025-b157b4f2a6c1	2fcdf1e4-5f2a-4762-8025-b157b4f2a6c1/c9c77734-2a03-4f12-8545-0dea14e990e0.FPKM.txt.gz	5cd8f4ffc1cc09cffe4bff3ebe4abbf1	518903	validated
38e42024-dbee-407e-a94f-f6f7adbec594	38e42024-dbee-407e-a94f-f6f7adbec594/4ead28da-fe94-4379-b369-c1ceb4d1f2f0.FPKM.txt.gz	e25a3b46d00086f7591fd34054efbdba	506969	validated
3ef388d4-4f56-4581-aad0-b5d394103505	3ef388d4-4f56-4581-aad0-b5d394103505/0751ff85-93a8-4d4b-a7bd-e1dc9abc07ea.FPKM.txt.gz	da8464ed2c9c8657c8bde2091e36a5d0	541682	validated
41a0fb07-f597-472b-bf63-df0c473f2abe	41a0fb07-f597-472b-bf63-df0c473f2abe/0508b190-f00b-475b-ae8d-a26bae9fad64.FPKM.txt.gz	e3eede132034b1a0aeec073d53c1e3c5	513134	validated
41fa73d6-0ab5-4113-9461-a7d06127edc8	41fa73d6-0ab5-4113-9461-a7d06127edc8/6c4588e2-ce36-4ac6-b8b1-35f8dad9d4c9.FPKM.txt.gz	1cbaec920c4942247a821d955c1e644f	531698	validated
429fec74-f480-47c8-a21b-e56b4e773b8b	429fec74-f480-47c8-a21b-e56b4e773b8b/2cd8bee5-a0e5-4273-b37c-756f31610f9a.FPKM.txt.gz	023607bc62fb10d9e2308dbb10cdce08	515237	validated
